id,상품명,브랜드,품번,성별,이미지_URL,현재_가격,평균_키,평균_몸무게,구매사이트,부위,스타일
629,Ignis Twill Cargo Pants Multi,아이돈워너셀,I24FWLP001-MT,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240726/4277637/4277637_17286314726646_big.jpg?w=1200,127200,170,72,https://www.musinsa.com/products/4277637,하의,스트릿
630,Curved Wide Jeans DCPT033STNGray,데케트,DCPT033STNGRAY,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240228/3911186/3911186_17091079260176_big.jpg?w=1200,32900,175,70,https://www.musinsa.com/products/3911186,하의,스트릿
631,Embossed Wave Washing Wide Denim Pants Blue,비엘알,BLR2D06PT03,남,https://image.msscdn.net/thumbnails/images/goods_img/20240821/4353855/4353855_17290626208636_big.jpg?w=1200,127200,172,67,https://www.musinsa.com/products/4353855,하의,스트릿
632,타임리스 테이퍼드 데님팬츠 블랙 ZG2PT235BK,지오송지오,ZG2PT235BK,남,https://image.msscdn.net/thumbnails/images/goods_img/20240215/3874175/3874175_17079830598070_big.jpg?w=1200,157500,177,76,https://www.musinsa.com/products/3874175,하의,미니멀
633,원 턱 레귤러 핏 치노 팬츠 [바로크 브라운],무신사 스탠다드,MMAPC506-QB,남,https://image.msscdn.net/thumbnails/images/goods_img/20231215/3757167/3757167_17116017387814_big.jpg?w=1200,37690,177,71,https://www.musinsa.com/products/3757167,하의,미니멀
634,우먼즈 웨이스트밴들리스 와이드 슬랙스 [그레이],무신사 스탠다드 우먼,MWAPS107-GR,여,https://image.msscdn.net/thumbnails/images/goods_img/20220218/2371978/2371978_1_big.jpg?w=1200,35590,165,51,https://www.musinsa.com/products/2371978,하의,미니멀
635,리버스 원 턱 와이드 히든 밴딩 슬랙스 [미디엄 그레이],무신사 스탠다드,MMCPS101-MR,남,https://image.msscdn.net/thumbnails/images/goods_img/20230130/3045275/3045275_16941431213120_big.jpg?w=1200,35090,174,75,https://www.musinsa.com/products/3045275,하의,미니멀
636,[무료반품]114523 MW 테이퍼드 울트라스트레치 히든밴딩 치노_4color,지오다노,01114523,남,https://image.msscdn.net/thumbnails/images/goods_img/20240110/3786868/3786868_17228326524119_big.jpg?w=1200,35000,179,76,https://www.musinsa.com/products/3786868,하의,미니멀
637,와이드 레플리카 퍼티그 팬츠 [베이지],무신사 스탠다드,MMBPC708-BE,남,https://image.msscdn.net/thumbnails/images/goods_img/20220608/2602322/2602322_1_big.jpg?w=1200,34890,175,74,https://www.musinsa.com/products/2602322,하의,미니멀
638,우먼즈 테이퍼드 코듀로이 팬츠 [블랙],무신사 스탠다드 우먼,MWAPC701-BK,여,https://image.msscdn.net/thumbnails/images/goods_img/20210818/2069538/2069538_1_big.jpg?w=1200,34390,161,51,https://www.musinsa.com/products/2069538,하의,미니멀
639,기모 남여공용 옐로우 워싱 벌룬핏 와이드 데님 유니섹스 (진청/블랙/블루),아크시,WJUA878,남,https://image.msscdn.net/thumbnails/images/goods_img/20241107/4594686/4594686_17312836364533_big.jpg?w=1200,32020,171,67,https://www.musinsa.com/products/4594686,하의,스트릿
